"filename", "language", "JavaScript", "JSON", "TypeScript JSX", "JSON with Comments", "Groovy", "Java Properties", "XML", "TypeScript", "Objective-C", "Batch", "C++", "Objective-C++", "Ignore", "Java", "comment", "blank", "total"
"d:\StayFocus\src\components\TimeDropdown.tsx", "TypeScript JSX", 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 136
"d:\StayFocus\src\components\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\StayFocus\src\default_scripts\finish_script.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\StayFocus\src\default_scripts\giveup_script.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\StayFocus\src\default_scripts\new_default_scripts.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"d:\StayFocus\src\gpt_apis\Completion.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"d:\StayFocus\src\gpt_apis\GPT.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"d:\StayFocus\src\gpt_apis\Para.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\StayFocus\src\gpt_apis\Senti.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"d:\StayFocus\src\gpt_apis\SentiGPT.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"d:\StayFocus\src\gpt_apis\Usage.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38
"d:\StayFocus\src\helpers\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\StayFocus\src\helpers\strings.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 7, 92
"d:\StayFocus\src\helpers\styling.tsx", "TypeScript JSX", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 52
"d:\StayFocus\src\helpers\utilities.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 1, 8, 53
"d:\StayFocus\src\screens\ChatRefEndPage.js", "JavaScript", 467, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 57, 530
"d:\StayFocus\src\screens\ChatRefFinishPage.js", "JavaScript", 475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 62, 544
"d:\StayFocus\src\screens\ChatRefQuitPage.js", "JavaScript", 591, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 76, 674
"d:\StayFocus\src\screens\DrawerNavigator.tsx", "TypeScript JSX", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 88
"d:\StayFocus\src\screens\FocusEndedPage.tsx", "TypeScript JSX", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 66
"d:\StayFocus\src\screens\HomePage.tsx", "TypeScript JSX", 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 139
"d:\StayFocus\src\screens\LoginPage.tsx", "TypeScript JSX", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 118
"d:\StayFocus\src\screens\SetTimePage.js", "JavaScript", 270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 297
"d:\StayFocus\src\screens\SignupPage.tsx", "TypeScript JSX", 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 144
"d:\StayFocus\src\screens\SuccessPage.tsx", "TypeScript JSX", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 93
"d:\StayFocus\src\screens\TimerPage.tsx", "TypeScript JSX", 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24, 241
"d:\StayFocus\src\screens\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\StayFocus\src\screens\settings\AboutPage.tsx", "TypeScript JSX", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"d:\StayFocus\src\screens\settings\LogPage.tsx", "TypeScript JSX", 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 112
"d:\StayFocus\src\screens\settings\SettingsPage.tsx", "TypeScript JSX", 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 106
"d:\StayFocus\src\screens\settings\SettingsScreen.tsx", "TypeScript JSX", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
"d:\StayFocus\src\screens\settings\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\StayFocus\tsconfig.json", "JSON with Comments", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 11
"Total", "-", 2076, 30252, 1523, 6, 206, 11, 107, 639, 61, 68, 172, 99, 2, 442, 388, 817, 36869
